Egendomstyp;Rubrik;Utropspris (kr);Startpris (kr);Utlämningsform;Försäljningsform;Försäljningsort;Försäljningsslut;Betalat belopp (kr);Vill ha frakt
Personbil;Peugeot 107;30 000,00;15 000,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2020-11-26;31500;Nej
Personbil;Kia Ceed SW 1.6 CRDi;70 000,00;35 000,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2020-11-26;60500;Nej
Övrigt (Motorcyklar);Kawasaki ZL 1000A;30 000,00;15 000,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2020-11-26;22000;Nej
Lantbruksmaskiner;Rundbalpress Claas ;100 000,00;50 000,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2020-11-26;87000;Nej
Djurtransport;Djurtransport BOJ Classic;45 000,00;22 500,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2020-11-26;67000;Nej
Övrigt (Inventarier, Maskiner, Varupartier);Kylskåp för snus;1 500,00;700,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2020-11-26;750;Nej
Butik & Kassa;Hyllsektioner;1 000,00;600,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2020-11-26;1500;Nej
Butik & Kassa;Cigarrskåp;600,00;600,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2020-11-26;1400;Nej
Personbil;Volvo V40 D2;80 000,00;40 000,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2020-11-26;95000;Nej
Personbil;Audi A1 1.2 TFSI;55 000,00;27 000,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2020-11-26;53500;Nej
Personbil;Citroën C5 2.0 HDiF ;30 000,00;15 000,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2020-11-26;20000;Nej
Personbil;Volvo V70 2.0 Flexifuel;40 000,00;20 000,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2020-11-26;31000;Nej
Frisör & Skönhetssalong;Hårtrimmer Oster 97;600,00;600,00;Kan skickas, [Wellåda 1B (320x225x95)];Intern Nätauktion;Uddevalla;2020-11-27;850;Ja
Frisör & Skönhetssalong;Hårtrimmer;600,00;600,00;Kan skickas, [Wellåda 1B (320x225x95)];Intern Nätauktion;Uddevalla;2020-11-27;600;Ja
Verktyg;Skruvdragare Bosch PSR 10,8 Li-2 inkl. väska;600,00;600,00;Kan skickas, [Wellåda 3B (500x300x350)];Intern Nätauktion;Uddevalla;2020-11-27;600;Ja
TV-spel;PS3 med handkontroller;600,00;600,00;Kan skickas, [Wellåda 3B (500x300x350)];Intern Nätauktion;Uddevalla;2020-11-27;650;Ja
TV & Projektor;Miniprojektor Asus S1;1 000,00;600,00;Kan skickas, [Wellåda 1B (320x225x95)];Intern Nätauktion;Uddevalla;2020-11-27;1300;Nej
Verktyg;Slagborr Bosch PSB-2 RE inkl. väska;600,00;600,00;Kan skickas, [Wellåda 3B (500x300x350)];Intern Nätauktion;Uddevalla;2020-11-27;600;Ja
Verktyg;Vinkelslip Mikwaukee ;600,00;600,00;Kan skickas, [Wellåda 3B (500x300x350)];Intern Nätauktion;Uddevalla;2020-11-27;1300;Ja
Klockor;Armbandsur Certina;1 200,00;600,00;Kan skickas, [Vadderad påse B (340x470)];Intern Nätauktion;Uddevalla;2020-11-27;1400;Ja
Verktyg;Skruvdragare Hitachi;600,00;600,00;Kan skickas, [Wellåda 2B (320x225x250)];Intern Nätauktion;Uddevalla;2020-11-27;1600;Ja
Verktyg;Verktygssats Jaguar ;600,00;600,00;Kan skickas, [Wellåda 3B (500x300x350)];Intern Nätauktion;Uddevalla;2020-11-27;600;Ja
Övrigt (Musikutrustning & Instrument);Pedal Digitech;600,00;600,00;Kan skickas, [Wellåda 1B (320x225x95)];Intern Nätauktion;Uddevalla;2020-11-27;600;Ja
Frisör & Skönhetssalong;Frisörsaxar och Swing razor;2 000,00;1 000,00;Kan skickas, [Wellåda 1B (320x225x95)];Intern Nätauktion;Uddevalla;2020-11-27;2200;Ja
Verktyg;Slipmaskin Ryobi one+;600,00;600,00;Kan skickas, [Wellåda 2B (320x225x250)];Intern Nätauktion;Uddevalla;2020-11-27;1000;Ja
TV-spel;PS4 med handkontroller;1 200,00;600,00;Kan skickas, [Wellåda 3B (500x300x350)];Intern Nätauktion;Uddevalla;2020-11-27;1900;Ja
TV & Projektor;Projektor Epson;4 000,00;2 000,00;Kan skickas, [Wellåda 3B (500x300x350)];Intern Nätauktion;Uddevalla;2020-11-27;2000;Ja
Däck & Fälg;4 Aluminiumfälgar Volvo;5 000,00;2 500,00;Ska hämtas;Intern Nätauktion;Uddevalla;2020-11-27;5800;Nej
Frisör & Skönhetssalong;Hårtrimmer Wahl Magic clip;600,00;600,00;Kan skickas, [Wellåda 1B (320x225x95)];Intern Nätauktion;Uddevalla;2020-11-27;850;Nej
TV & Projektor;Projektor Nec ;3 000,00;1 500,00;Kan skickas, [Wellåda 3B (500x300x350)];Intern Nätauktion;Uddevalla;2020-11-27;1600;Nej
Verktyg;Röjsåg/trimmer Husqvarna ;600,00;600,00;Ska hämtas;Intern Nätauktion;Uddevalla;2020-11-27;1400;Nej
Verktyg;Grästrimmer Stihl FS300;600,00;600,00;Ska hämtas;Intern Nätauktion;Uddevalla;2020-11-27;1000;Nej
Verktyg;3 Verktyg Makita ;1 500,00;750,00;Kan skickas, [Wellåda 4B (560x330x406)];Intern Nätauktion;Uddevalla;2020-11-27;3800;Nej
Verktyg;Vedklyv från Harald Nyborg;600,00;600,00;Ska hämtas;Intern Nätauktion;Uddevalla;2020-11-27;1600;Nej
TV-spel;Sony PS4;600,00;600,00;Kan skickas, [Wellåda 3B (500x300x350)];Intern Nätauktion;Uddevalla;2020-11-27;1700;Nej
Verktyg;Garagedomkraft Bacho;1 000,00;600,00;Ska hämtas;Intern Nätauktion;Uddevalla;2020-11-27;1600;Nej
Övrigt (Musikutrustning & Instrument);Mikrofon Röde;600,00;600,00;Ska hämtas;Intern Nätauktion;Uddevalla;2020-11-27;1100;Nej
Övrigt (Båtar);Motorbåt Ockelbo DC21 med båtvagn;30 000,00;15 000,00;Ska hämtas;Intern Nätauktion;Uddevalla;2020-11-27;28000;Nej
Lantbruksmaskiner;Traktor Volvo BM T 430 samt betesputs;30 000,00;15 000,00;Ska hämtas;Intern Nätauktion;Uddevalla;2020-11-27;32500;Nej
Personbil;BMW 330 XD kombi;60 000,00;30 000,00;Ska hämtas;Intern Nätauktion;Uddevalla;2020-11-27;42000;Nej
Gummi/Ribbåt;Gummibåt Maritime;2 000,00;1 000,00;Ska hämtas;Intern Nätauktion;Uddevalla;2020-11-27;1900;Nej
Herrcykel;Lådcykel the Box;10 000,00;5 000,00;Ska hämtas;Intern Nätauktion;Uddevalla;2020-11-27;9200;Nej
Herrcykel;Elcykel Trek;5 000,00;2 400,00;Ska hämtas;Intern Nätauktion;Uddevalla;2020-11-27;5600;Nej
Herrcykel;Cykel Giant;600,00;600,00;Ska hämtas;Intern Nätauktion;Uddevalla;2020-11-27;750;Nej
Personbil;Chevrolet Captiva 2.0 LT;10 000,00;5 000,00;Ska hämtas;Intern Nätauktion;Uddevalla;2020-11-27;19000;Nej
Personbil;Fiat Grande Punto 1,3;5 000,00;3 500,00;Ska hämtas;Intern Nätauktion;Uddevalla;2020-11-27;5400;Nej
Personbil;Jaguar X-type;30 000,00;15 000,00;Ska hämtas;Intern Nätauktion;Uddevalla;2020-11-27;26000;Nej
Övrigt;Rivningsgrip Encon ;30 000,00;15 000,00;Ska hämtas;Intern Nätauktion;Uddevalla;2020-11-27;40000;Nej
Personbil;BMW 520D;172 000,00;167 000,00;Ska hämtas;Intern Nätauktion;Uddevalla;2020-11-27;192000;Nej
Lantbruksmaskiner;Traktor International 484;30 000,00;15 000,00;Ska hämtas;Intern Nätauktion;Uddevalla;2020-11-27;31500;Nej
TV & Projektor;LCD-TV Sony;600,00;600,00;Ska hämtas;Intern Nätauktion;Uddevalla;2020-11-27;750;Nej
Personbil;Saab 9-5 Linear Sportcombi;5 000,00;2 500,00;Ska hämtas;Intern Nätauktion;Uddevalla;2020-11-27;2500;Nej
Antikt & Konst;Tavla abstrakt motiv;1 000,00;600,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;600;Nej
Antikt & Konst;Färglitografi ;3 000,00;1 500,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;1700;Nej
Soffa, Fåtölj & Soffmöbler;Fåtöljer  ;15 000,00;7 000,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;23500;Nej
Övrigt (Sport & Fritid);Portabel IR-bastu;4 000,00;2 000,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;2000;Nej
Övrigt;Elscooter SermanGreen ;2 000,00;1 000,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;1300;Nej
Kökstillbehör & Porslin;Fem små La Creusetgrytor;1 200,00;600,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;1300;Nej
Antikt & Konst;Jakttroféer ;1 200,00;600,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;1200;Nej
Smycken;Halskedja guld ;1 400,00;900,00;Kan skickas, [Vadderad påse B (340x470)];Intern Nätauktion;Sundbyberg;2020-12-03;1500;Nej
Övrigt (Husgeråd & Vitvaror);6 små ugnsformar med lock;800,00;600,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2020-12-03;700;Nej
Väskor;Plånbok märkt Louis Vuitton;2 000,00;1 000,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Sundbyberg;2020-12-03;3500;Nej
Övrigt (Husgeråd & Vitvaror);Tallrikar Villeroy & Boch ;1 500,00;700,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;1500;Nej
Antikt & Konst;Fotografi ;1 000,00;600,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;6200;Nej
Kökstillbehör & Porslin;Diverse glas - bland annat Iittala, Lasse Åberg;600,00;600,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;600;Nej
Antikt & Konst;Tavla med får, signerad av Anders Palmér;1 000,00;600,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;1100;Nej
Övrigt (Husgeråd & Vitvaror);5 vinglas Orrefors;1 200,00;600,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;850;Nej
Övrigt (Husgeråd & Vitvaror);7 Martiniglas Orrefors;1 200,00;600,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;1100;Nej
Antikt & Konst;Tavla ;3 000,00;1 500,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;2100;Nej
Kläder & Skor;Jacka märkt Acne Studios;2 000,00;600,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2020-12-03;600;Nej
Kläder & Skor;Jacka märkt Acne Studios;2 000,00;600,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2020-12-03;600;Nej
Kläder & Skor;Jacka märkt Acne Studios;2 000,00;600,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2020-12-03;600;Nej
Kläder & Skor;Jacka märkt Hugo Boss;1 000,00;600,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2020-12-03;1600;Nej
Övrigt;Elscooter Lyfco;2 000,00;1 000,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;1700;Nej
Övrigt;Elscooter Nitrox;3 000,00;1 500,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;3100;Nej
Kökstillbehör & Porslin;"3 stycken Orreforsskålar modell ""Pond""";600,00;600,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;900;Nej
Smycken;Diverse guldsmycken;55 000,00;28 000,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;39500;Nej
Kläder & Skor;3 Slipsar;1 200,00;600,00;Kan skickas, [Wellåda 1A (320x225x95)];Intern Nätauktion;Sundbyberg;2020-12-03;1200;Nej
Soffa, Fåtölj & Soffmöbler;Fåtölj och fotpall av märket Lamino;6 000,00;3 000,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;4400;Nej
Filmer & Musik;Kameralins Sony Zeiss ;7 000,00;3 500,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;4300;Nej
Antikt & Konst;Sparrisfat märkt Gustafsberg;800,00;600,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;950;Nej
Smycken;Två armband, och ett halsband 21K;38 000,00;35 000,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;36000;Nej
Foto & Videokameror;Videkamera JVC ;2 600,00;1 300,00;Kan skickas, [Wellåda 1A (320x225x95)];Intern Nätauktion;Sundbyberg;2020-12-03;1900;Nej
Foto & Videokameror;Digital video camera ;2 400,00;1 200,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2020-12-03;1500;Nej
Mattor;2 Kasthallmattor;2 000,00;1 000,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;1600;Nej
Övrigt;Mugg märkt Hermes;1 000,00;600,00;Kan skickas, [Wellåda 1A (320x225x95)];Intern Nätauktion;Sundbyberg;2020-12-03;1100;Nej
Belysning;Taklampa Svart ;3 000,00;1 500,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;1600;Nej
Övrigt (Möbler & Heminredning);Sidobord ;2 000,00;1 000,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;1100;Nej
Kläder & Skor;Skor märkta Valentino;1 800,00;900,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2020-12-03;1100;Nej
Övrigt (Möbler & Heminredning);9 Iittalaljusstakar;1 200,00;600,00;Kan skickas, [Wellåda 3A (500x300x350)];Intern Nätauktion;Sundbyberg;2020-12-03;1100;Nej
Övrigt (Möbler & Heminredning);Serveringsvagn ;3 000,00;1 500,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;1500;Nej
Kökstillbehör & Porslin;Köksmaskin Kitchen Aid;3 000,00;1 400,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;1500;Nej
Foto & Videokameror;Nikon Coolpix P1000 ;4 000,00;2 000,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;5400;Nej
Antikt & Konst;Vas märkt Versace;1 000,00;600,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;1500;Nej
Väskor;Väska märkt Chanel;45 000,00;22 000,00;Kan skickas, [Wellåda 2B (320x225x250)];Intern Nätauktion;Sundbyberg;2020-12-03;40500;Nej
Väskor;Väska märkt Chanel;30 000,00;15 000,00;Kan skickas, [Wellåda 2B (320x225x250)];Intern Nätauktion;Sundbyberg;2020-12-03;34000;Nej
Väskor;Plånbok märkt Chanel;4 000,00;2 000,00;Kan skickas, [Wellåda 1A (320x225x95)];Intern Nätauktion;Sundbyberg;2020-12-03;5600;Nej
Säng & Sovrum;Dubbeltäcke och påslakan set;2 000,00;1 000,00;Kan skickas, [Wellåda 4A (560x330x406)];Intern Nätauktion;Sundbyberg;2020-12-03;1300;Nej
Övrigt (Möbler & Heminredning);Höganäskrus samt Empirkruka ;600,00;600,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;650;Nej
Övrigt (Möbler & Heminredning);7 diverse delar bland annat - Iittala, Almedahls;600,00;600,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;600;Nej
Antikt & Konst;Tavla föreställande Marilyn Monroe ;8 000,00;4 000,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;4500;Nej
Kökstillbehör & Porslin;4 stycken Orrefors Streetglas ;600,00;600,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;850;Nej
Antikt & Konst;1 par ljusstakar märkta Skultuna ;600,00;600,00;Kan skickas, [Wellåda 1A (320x225x95)];Intern Nätauktion;Sundbyberg;2020-12-03;1100;Nej
Kläder & Skor;Jacka märkt Acne Studios;3 000,00;600,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2020-12-03;600;Nej
Övrigt (Ljud & Bild);Drönare;11 000,00;5 000,00;Kan skickas, [Wellåda 3B (500x300x350)];Intern Nätauktion;Sundbyberg;2020-12-03;6200;Nej
Stereo & Surround;Sonos Soundbar ;3 000,00;1 500,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;3500;Nej
Antikt & Konst;Glas och ljusstakar ;1 000,00;600,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;600;Nej
Kökstillbehör & Porslin;Kanna med guldfärgat handtag ;1 200,00;600,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;1000;Nej
Övrigt (Husgeråd & Vitvaror);3 st fat Mateus;1 000,00;600,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;800;Nej
Antikt & Konst;Rörstrand 8 delar ;1 000,00;600,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;750;Nej
Stereo & Surround;Sonos Play:1;2 000,00;1 000,00;Kan skickas, [Wellåda 1A (320x225x95)];Intern Nätauktion;Sundbyberg;2020-12-03;1600;Nej
Kläder & Skor;3 t-shirts märkta Acne Studios;1 200,00;600,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2020-12-03;700;Nej
Antikt & Konst;"Färglitografi ""Watch your step""";600,00;600,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;600;Nej
Övrigt (Möbler & Heminredning);Svenskt Tenn 2 krukor ;800,00;600,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2020-12-03;800;Nej
Övrigt (Möbler & Heminredning);Svenskt Tenn stor kruka ;1 000,00;600,00;Kan skickas, [Wellåda 4A (560x330x406)];Intern Nätauktion;Sundbyberg;2020-12-03;1400;Nej
Övrigt (Möbler & Heminredning);Skulptuna ljusstake och kruka ;800,00;600,00;Kan skickas, [Wellåda 1A (320x225x95)];Intern Nätauktion;Sundbyberg;2020-12-03;600;Nej
Övrigt (Ljud & Bild);Två hörlurar;1 200,00;600,00;Kan skickas, [Wellåda 1A (320x225x95)];Intern Nätauktion;Sundbyberg;2020-12-03;600;Nej
Väskor;Väska märkt off white;3 000,00;1 500,00;Kan skickas, [Wellåda 1A (320x225x95)];Intern Nätauktion;Sundbyberg;2020-12-03;1900;Nej
Övrigt;Ittalaserie 14 delar;1 500,00;750,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;750;Nej
Kökstillbehör & Porslin;40 stycken Orreforsglas;2 000,00;1 000,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;1300;Nej
Kläder & Skor;Skjorta märkt ETON;600,00;600,00;Kan skickas, [Wellåda 1A (320x225x95)];Intern Nätauktion;Sundbyberg;2020-12-03;650;Nej
Kökstillbehör & Porslin;Bestickset Fyrklövern;2 000,00;1 000,00;Kan skickas, [Wellåda 3A (500x300x350)];Intern Nätauktion;Sundbyberg;2020-12-03;1000;Nej
Kökstillbehör & Porslin;Vin- och champagneglas-set;1 600,00;800,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;800;Nej
Antikt & Konst;Litografi Lars Norrman ;800,00;600,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;650;Nej
Kökstillbehör & Porslin;9 stycken Höganäskoppar;600,00;600,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;600;Nej
Verktyg;Verktygspaket Cirkelsåg och skruvdragare;800,00;600,00;Kan skickas, [Wellåda 4A (560x330x406)];Intern Nätauktion;Sundbyberg;2020-12-03;1000;Nej
Övrigt (Husgeråd & Vitvaror);2 st fat Mateus;800,00;600,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;850;Nej
Bord & Stolar;Två pallar;3 000,00;1 500,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;1800;Nej
Bord & Stolar;Soffbord ;1 500,00;700,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;1700;Nej
Kläder & Skor;Rock märkt Hugo Boss;1 000,00;600,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2020-12-03;1300;Nej
Övrigt;Blandat Mateus porslin ;2 000,00;1 000,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;1000;Nej
Övrigt (Möbler & Heminredning);Diverse silver;600,00;600,00;Kan skickas, [Wellåda 1A (320x225x95)];Intern Nätauktion;Sundbyberg;2020-12-03;4800;Nej
Kökstillbehör & Porslin;Gjutjärnsgryta Le Creuset ;2 000,00;1 000,00;Kan skickas, [Wellåda 3A (500x300x350)];Intern Nätauktion;Sundbyberg;2020-12-03;1800;Nej
Kläder & Skor;Byxor märkta Boss Orange;800,00;600,00;Kan skickas, [Wellåda 1A (320x225x95)];Intern Nätauktion;Sundbyberg;2020-12-03;750;Nej
Övrigt;Elscooter SermanGreen ;2 000,00;1 000,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;1100;Nej
Gitarr/Bas/Förstärkare;Gitarrar Arnold Hoyer ;3 000,00;1 500,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;3900;Nej
Övrigt (Båtdelar & Tillbehör); Fotogenkamin Sunwind Corona;1 000,00;600,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;1100;Nej
Antikt & Konst;Oljemålning på canvas;15 000,00;7 000,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;13750;Nej
Kläder & Skor;2 huvtröjor märkta Acne Studios;2 000,00;1 000,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2020-12-03;1100;Nej
Antikt & Konst;Två vita Myranstolar ;2 000,00;1 000,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;2300;Nej
Belysning;2 st bordslampor märkt Svensk Tenn ;4 000,00;2 000,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;3800;Nej
Övrigt;Kikare ;2 000,00;1 000,00;Kan skickas;Intern Nätauktion;Sundbyberg;2020-12-03;1500;Nej
Övrigt;Airscooter Stiga ;1 200,00;600,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;600;Nej
Klockor;Klockor märkta Gucci och Dolce Gabbana;1 500,00;700,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Sundbyberg;2020-12-03;2600;Ja
Kläder & Skor;Sportskor märkta Louis Vuitton;1 000,00;600,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2020-12-03;2500;Ja
Kökstillbehör & Porslin;Termoskanna, knivar och flaskkork;600,00;600,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2020-12-03;650;Ja
Smycken;Armband märkt Hermes;2 000,00;1 000,00;Kan skickas, [Vadderad påse B (340x470)];Intern Nätauktion;Sundbyberg;2020-12-03;3400;Ja
Kläder & Skor;Sjal märkt Louis Vuitton;600,00;600,00;Kan skickas, [Wellåda 1A (320x225x95)];Intern Nätauktion;Sundbyberg;2020-12-03;3600;Ja
Antikt & Konst;Finsk konst 8 blad i mapp;600,00;600,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2020-12-03;1200;Ja
Antikt & Konst;Dessertset om 17 delar i silver;800,00;600,00;Kan skickas, [Wellåda 1A (320x225x95)];Intern Nätauktion;Sundbyberg;2020-12-03;3700;Ja
Övrigt (Möbler & Heminredning);Alessi samt Georg Jensen ;800,00;600,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2020-12-03;800;Ja
Smycken;Diverse guldsmycken;5 000,00;3 500,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;5600;Ja
Övrigt (Ljud & Bild);Högtalare Bose ;600,00;600,00;Kan skickas, [Wellåda 3A (500x300x350)];Intern Nätauktion;Sundbyberg;2020-12-03;600;Ja
Stereo & Surround;Marshall Kilburn ;1 000,00;600,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2020-12-03;1200;Ja
Stereo & Surround;Marshall hanwell anniversary;2 000,00;1 000,00;Kan skickas, [Wellåda 4A (560x330x406)];Intern Nätauktion;Sundbyberg;2020-12-03;1200;Ja
Övrigt (Möbler & Heminredning);Skohorn märkt Manolo Blahnik ;2 000,00;1 000,00;Kan skickas, [Wellåda 1A (320x225x95)];Intern Nätauktion;Sundbyberg;2020-12-03;1000;Ja
Övrigt (Möbler & Heminredning);2 Svenskt Tenn ljusstakar ;1 000,00;600,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2020-12-03;2400;Ja
Stereo & Surround;Högtalare;1 000,00;600,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2020-12-03;600;Ja
Foto & Videokameror;Leica V-lux 30 kamera;5 000,00;2 500,00;Kan skickas, [Wellåda 1A (320x225x95)];Intern Nätauktion;Sundbyberg;2020-12-03;2500;Ja
Övrigt (Möbler & Heminredning);Bok ;600,00;600,00;Kan skickas, [Wellåda 3A (500x300x350)];Intern Nätauktion;Sundbyberg;2020-12-03;1600;Ja
Kökstillbehör & Porslin;Bestickset Rosendahl;2 500,00;1 200,00;Kan skickas, [Wellåda 3A (500x300x350)];Intern Nätauktion;Sundbyberg;2020-12-03;2300;Ja
Kläder & Skor;Jacka märkt Parajumpers;10 500,00;2 000,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-12-03;6600;Ja
Foto & Videokameror;Digital systemkamera Canon ;8 000,00;2 000,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2020-12-03;3100;Ja
Smycken;Två ringar och en kedja ;4 200,00;2 500,00;Kan skickas, [Vadderad påse B (340x470)];Intern Nätauktion;Sundbyberg;2020-12-03;3800;Ja
Övrigt (Klockor);Fitbit Versa smartwatch i kartong;1 900,00;950,00;Kan skickas;Intern Nätauktion;Sundbyberg;2020-12-03;1600;Ja
Kläder & Skor;Två par skor märkta Nike ;1 000,00;600,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2020-12-03;600;Ja
Kläder & Skor;Stövlar märkta Moon Boot the Original;600,00;600,00;Kan skickas, [Wellåda 1A (320x225x95)];Intern Nätauktion;Sundbyberg;2020-12-03;800;Ja
Kläder & Skor;Skor märkta Converse Allstar;600,00;600,00;Kan skickas, [Wellåda 1A (320x225x95)];Intern Nätauktion;Sundbyberg;2020-12-03;600;Ja
Kläder & Skor;4 sweatshirts märkta Acne Studios;2 400,00;600,00;Kan skickas, [Wellåda 3A (500x300x350)];Intern Nätauktion;Sundbyberg;2020-12-03;850;Ja
Kläder & Skor;3 klädesplagg märkta Acne Studios;1 000,00;600,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2020-12-03;700;Ja
Kläder & Skor;2 par jeans märkta Acne Studios;2 000,00;600,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2020-12-03;700;Ja
Kläder & Skor;Tre par jeans märkta Acne Studios;1 200,00;600,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2020-12-03;600;Ja
